Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
number0 raccoons are playing in the woods . number1 go home to eat dinner . how many raccoons are left in the woods ?,3 2,- number0 number1,1.0,"[0, 1, 3, 8, 9, 20, 21, 22]",1,Subtraction,number0 raccoons are playing in the woods . number1 go home to eat dinner .,how many raccoons are left in the woods ?
number0 owls were sitting on the fence . number1 more owls joined them . how many owls are on the fence now ?,3 2,+ number0 number1,5.0,"[0, 1, 3, 6, 8, 9, 10, 19, 20, 21]",1,Addition,number0 owls were sitting on the fence . number1 more owls joined them .,how many owls are on the fence now ?
number0 beavers were working on their home . number1 went for a swim . how many beavers are still working on their home ?,2 1,- number0 number1,1.0,"[0, 1, 3, 5, 8, 9, 20, 21, 22]",1,Subtraction,number0 beavers were working on their home . number1 went for a swim .,how many beavers are still working on their home ?
number0 toucans are sitting on a tree limb . number1 more toucan joins them . how many toucans in all ?,2 1,+ number0 number1,3.0,"[0, 1, 3, 9, 10, 11, 17, 18, 19]",1,Addition,number0 toucans are sitting on a tree limb . number1 more toucan joins them .,how many toucans in all ?
mrs. hilt 's favorite first grade classes are baking muffins . mrs. brier 's class bakes number0 muffins mrs. macadams 's class bakes number1 muffins and mrs. flannery 's class bakes number2 muffins . how many muffins does first grade bake in all ?,18 20 17,+ + number0 number1 number2,55.0,"[32, 1, 4, 6, 8, 40, 41, 11, 42, 15, 16, 17, 19, 22, 23, 24, 30, 31]",1,Sum,mrs. hilt 's favorite first grade classes are baking muffins . mrs. brier 's class bakes number0 muffins mrs. macadams 's class bakes number1 muffins and mrs. flannery 's class bakes number2 muffins .,how many muffins does first grade bake in all ?
mrs. hilt bought a yoyo for number0 cents and a whistle for number1 cents . how much did she spend in all for the number2 toys ?,24 14 2,+ number0 number1,38.0,"[5, 6, 7, 11, 12, 13, 23, 24, 25]",1,Addition,mrs. hilt bought a yoyo for number0 cents and a whistle for number1 cents .,how much did she spend in all for the number2 toys ?
mrs. hilt made number0 rice krispie treats . she used number1 large marshmallows and number2 mini marshmallows . how many marshmallows did she use altogether ?,5 8 10,+ number1 number2,18.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",1,Addition,mrs. hilt made number0 rice krispie treats . she used number1 large marshmallows and number2 mini marshmallows .,how many marshmallows did she use altogether ?
at mrs. hilt 's house there was number0 inches of snow and brecknock elementary school received number1 inches of snow . how much more snow did mrs. hilt 's house have ?,29 17,- number0 number1,12.0,"[6, 7, 8, 15, 16, 17, 28, 29, 30]",1,Subtraction,at mrs. hilt 's house there was number0 inches of snow and brecknock elementary school received number1 inches of snow .,how much more snow did mrs. hilt 's house have ?
mrs. hilt has $ number0 . she spends $ number1 on a toy truck and $ number2 on a pencil case . how much money does she have left ?,10 3 2,- number0 + number1 number2,5.0,"[2, 3, 4, 7, 8, 9, 10, 15, 16, 17, 26, 27, 28]",1,Subtraction,mrs. hilt has $ number0 . she spends $ number1 on a toy truck and $ number2 on a pencil case .,how much money does she have left ?
mrs. hilt has number0 friends . she can only take number1 of her friends to the movies . how many friends ca n't go to the movies ?,15 8,- number0 number1,7.0,"[1, 2, 3, 4, 5, 9, 10, 11, 24, 25, 26]",1,Subtraction,mrs. hilt has number0 friends . she can only take number1 of her friends to the movies .,how many friends ca n't go to the movies ?
mrs. hilt ran number0 miles on monday number1 miles on wednesday and number2 miles on friday . how many total miles did she run that week ?,3 2 7,+ + number0 number1 number2,12.0,"[1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 23, 24, 25]",1,Sum,mrs. hilt ran number0 miles on monday number1 miles on wednesday and number2 miles on friday .,how many total miles did she run that week ?
mrs. hilt picked up a book that has number0 pages in it . she read number1 of the pages . how many pages did she have left to read ?,17 11,- number0 number1,6.0,"[1, 6, 7, 8, 9, 14, 15, 16, 26, 27, 28]",1,Subtraction,mrs. hilt picked up a book that has number0 pages in it . she read number1 of the pages .,how many pages did she have left to read ?
mrs. hilt had number0 cents . she bought a pencil for number1 cents . how much money did she have left ?,15 11,- number0 number1,4.0,"[2, 3, 4, 10, 11, 12, 18, 19, 20]",1,Subtraction,mrs. hilt had number0 cents . she bought a pencil for number1 cents .,how much money did she have left ?
mrs. hilt met number0 friends . number1 of the friends were carrying pears . the rest were carrying oranges . how many friends were carrying oranges ?,15 9,- number0 number1,6.0,"[1, 2, 3, 4, 6, 7, 23, 24, 25]",1,Subtraction,mrs. hilt met number0 friends . number1 of the friends were carrying pears . the rest were carrying oranges .,how many friends were carrying oranges ?
mary 's mom is getting ready for mary 's birthday party . she blew up number0 balloons this morning and number1 balloons this afternoon . how many balloons did she blow up in all ?,6 5,+ number0 number1,11.0,"[32, 1, 33, 5, 14, 15, 16, 19, 20, 21, 31]",1,Addition,mary 's mom is getting ready for mary 's birthday party . she blew up number0 balloons this morning and number1 balloons this afternoon .,how many balloons did she blow up in all ?
shelby 's teacher gives out gold stars for great math work . yesterday shelby earned number0 gold stars . today she earned number1 more . how many gold stars did shelby earn in all ?,4 3,+ number0 number1,7.0,"[32, 1, 2, 3, 33, 6, 14, 15, 16, 17, 21, 22, 23, 31]",1,Addition,shelby 's teacher gives out gold stars for great math work . yesterday shelby earned number0 gold stars . today she earned number1 more .,how many gold stars did shelby earn in all ?
the litter patrol picked up number0 glass bottles and number1 aluminum cans on saturday . how many pieces of litter did they pick up altogether ?,10 8,+ number0 number1,18.0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 22, 23, 24]",1,Addition,the litter patrol picked up number0 glass bottles and number1 aluminum cans on saturday .,how many pieces of litter did they pick up altogether ?
millie had number0 bracelets . she lost number1 of them . how many bracelets does millie have left ?,9 2,- number0 number1,7.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",1,Subtraction,millie had number0 bracelets . she lost number1 of them .,how many bracelets does millie have left ?
sammy has number0 math problems to do for homework . he has already finished number1 of them . how many math problems does sammy have left ?,9 2,- number0 number1,7.0,"[1, 2, 3, 4, 7, 13, 14, 15, 23, 24, 25]",1,Subtraction,sammy has number0 math problems to do for homework . he has already finished number1 of them .,how many math problems does sammy have left ?
there were number0 students riding on the school bus . at the first stop number1 students got off of the bus . how many students are left on the bus ?,10 3,- number0 number1,7.0,"[1, 2, 3, 13, 14, 15, 16, 27, 28, 29]",1,Subtraction,there were number0 students riding on the school bus . at the first stop number1 students got off of the bus .,how many students are left on the bus ?
there were number0 ducks swimming in the pond . number1 ducks flew away . how many ducks are still swimming in the pond ?,8 3,- number0 number1,5.0,"[1, 2, 3, 5, 9, 10, 20, 21, 22]",1,Subtraction,there were number0 ducks swimming in the pond . number1 ducks flew away .,how many ducks are still swimming in the pond ?
lucy went to the grocery store . she bought number0 packs of cookies and number1 packs of noodles . how many packs of groceries did she buy in all ?,12 16,+ number0 number1,28.0,"[1, 7, 8, 9, 10, 13, 14, 15, 26, 27, 28]",2,Addition,lucy went to the grocery store . she bought number0 packs of cookies and number1 packs of noodles .,how many packs of groceries did she buy in all ?
roden went to a pet shop . he bought number0 gold fish and number1 blue fish . how many fish did he buy ?,15 7,+ number0 number1,22.0,"[1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22]",2,Addition,roden went to a pet shop . he bought number0 gold fish and number1 blue fish .,how many fish did he buy ?
i read number0 pages of my english book yesterday . today i read number1 pages . what is the total number of pages did i read ?,21 17,+ number0 number1,38.0,"[1, 2, 3, 12, 13, 14, 23, 24, 25]",2,Addition,i read number0 pages of my english book yesterday . today i read number1 pages .,what is the total number of pages did i read ?
in a school there are number0 girls and number1 boys . how many pupils are there in that school ?,542 387,+ number0 number1,929.0,"[4, 5, 6, 7, 8, 9, 16, 17, 18]",2,Addition,in a school there are number0 girls and number1 boys .,how many pupils are there in that school ?
linda has number0 candies . chloe has number1 how many candies do they have in all ?,34 28,+ number0 number1,62.0,"[1, 2, 3, 5, 6, 7, 8, 13, 14, 15]",2,Addition,linda has number0 candies . chloe has number1 how,many candies do they have in all ?
jose has number0 chickens and number1 ducks . how many fowls does he have ?,28 18,+ number0 number1,46.0,"[1, 2, 3, 4, 5, 6, 11, 12, 13]",2,Addition,jose has number0 chickens and number1 ducks .,how many fowls does he have ?
jovana filled her bucket with number0 pounds of shells . if a friend comes to add number1 pounds of shells and another friend comes to add number2 pounds of shells how many pounds does she have altogether ?,5 15 17,+ + number0 number1 number2,37.0,"[34, 35, 4, 5, 6, 36, 15, 16, 17, 21, 25, 26, 27]",2,Sum,jovana filled her bucket with number0 pounds of shells . if a friend comes to add number1 pounds of shells and another friend comes to add number2 pounds of shells,how many pounds does she have altogether ?
cade had number0 marbles . he gave number1 to dylan . how many does he have left ?,87 8,- number0 number1,79.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",2,Subtraction,cade had number0 marbles . he gave number1 to dylan .,how many does he have left ?
michael has some fish in his fish tank . ben gave him number0 more fish . now he has number1 how many fish did he have to begin with ?,18 49,- number1 number0,31.0,"[1, 4, 7, 11, 12, 13, 14, 18, 19, 20, 26, 27, 28]",2,Subtraction,michael has some fish in his fish tank . ben gave him number0 more fish . now he has number1 how,many fish did he have to begin with ?
hayley had number0 meatballs on her plate . kirsten stole some of her meatballs . now she has number1 meatballs on her plate . how many meatballs did kirsten steal ?,25 11,- number0 number1,14.0,"[1, 2, 3, 5, 17, 18, 19, 27, 28, 29]",2,Subtraction,hayley had number0 meatballs on her plate . kirsten stole some of her meatballs . now she has number1 meatballs on her plate .,how many meatballs did kirsten steal ?
isabella 's hair is number0 inches long . if she gets a haircut and now her hair is number1 inches long how much of isabella 's hair got cut off ?,18 9,- number0 number1,9.0,"[3, 4, 5, 17, 18, 19, 27, 28, 29]",2,Subtraction,isabella 's hair is number0 inches long . if she gets a haircut and now her hair is number1 inches long,how much of isabella 's hair got cut off ?
isabella 's hair is number0 inches long . by the end of the year her hair is number1 inches long . how much hair did she grow ?,18 24,- number1 number0,6.0,"[3, 4, 5, 16, 17, 18, 24, 25, 26]",2,Subtraction,isabella 's hair is number0 inches long . by the end of the year her hair is number1 inches long .,how much hair did she grow ?
jovana had number0 pounds of shells in her bucket . she added some shells and now has number1 pounds of shells . how many pounds did she add ?,5 28,- number1 number0,23.0,"[1, 2, 3, 5, 6, 16, 17, 18, 25, 26, 27]",2,Subtraction,jovana had number0 pounds of shells in her bucket . she added some shells and now has number1 pounds of shells .,how many pounds did she add ?
isha 's pencil is number0 inches long . if she sharpens it now her pencil is number1 inches long . how much did she sharpen off of her pencil ?,31 14,- number0 number1,17.0,"[3, 4, 5, 15, 16, 17, 26, 27, 28]",2,Subtraction,isha 's pencil is number0 inches long . if she sharpens it now her pencil is number1 inches long .,how much did she sharpen off of her pencil ?
mrs. sheridan has number0 cats . how many more cats does mrs. sheridan need to have number1 cats ?,11 43,- number1 number0,32.0,"[1, 2, 3, 4, 7, 9, 15, 16, 17]",2,Subtraction,mrs. sheridan has number0 cats .,how many more cats does mrs. sheridan need to have number1 cats ?
mrs. wong had number0 valentines . she gave number1 valentines to her children . how many does she have left ?,30 8,- number0 number1,22.0,"[1, 2, 3, 4, 7, 8, 9, 17, 18, 19]",2,Subtraction,mrs. wong had number0 valentines . she gave number1 valentines to her children .,how many does she have left ?
mrs. franklin had number0 valentines . mrs. franklin gave some to her students . now she has number1 how many valentines did mrs. franklin give to her students ?,58 16,- number0 number1,42.0,"[1, 2, 3, 4, 6, 16, 17, 18, 25, 26, 27]",2,Subtraction,mrs. franklin had number0 valentines . mrs. franklin gave some to her students . now she has number1 how,many valentines did mrs. franklin give to her students ?
cindy had number0 pieces of candy . she ate number1 pieces in the morning and number2 more pieces in the afternoon . how many pieces of candy does she have left ?,41 6 12,- - number0 number1 number2,23.0,"[1, 2, 3, 8, 9, 10, 14, 15, 16, 17, 28, 29, 30]",2,TVQ-Final,cindy had number0 pieces of candy . she ate number1 pieces in the morning and number2 more pieces in the afternoon .,how many pieces of candy does she have left ?
robert wants to practice goal kicks for soccer . he decides to have number0 kicks before going home from the park . he takes number1 kicks before taking a break to get a drink of water . he then takes another number2 kicks . how many more kicks does he need to make before he goes home ?,98 43 36,- - number0 number1 number2,19.0,"[1, 2, 3, 40, 41, 42, 12, 13, 14, 55, 54, 23, 24, 25, 56]",2,TVQ-Final,robert wants to practice goal kicks for soccer . he decides to have number0 kicks before going home from the park . he takes number1 kicks before taking a break to get a drink of water . he then takes another number2 kicks .,how many more kicks does he need to make before he goes home ?
cindy has number0 stickers . she uses number1 stickers . she buys number2 more stickers . how many stickers does cindy have now ?,105 23 45,+ - number0 number1 number2,127.0,"[1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 20, 21, 22]",2,TVQ-Final,cindy has number0 stickers . she uses number1 stickers . she buys number2 more stickers .,how many stickers does cindy have now ?
brian has number0 pencils . he gives number1 pencils to a friend . he buys number2 more pencils . how many pencils does brian have now ?,39 18 22,+ - number0 number1 number2,43.0,"[1, 2, 3, 5, 6, 7, 8, 14, 15, 16, 17, 23, 24, 25]",2,TVQ-Final,brian has number0 pencils . he gives number1 pencils to a friend . he buys number2 more pencils .,how many pencils does brian have now ?
karen has number0 markers . her mother gives her number1 more markers . karen loses number2 markers . how many markers does she have now ?,252 34 11,- + number0 number1 number2,275.0,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 14, 15, 16, 22, 23, 24]",2,TVQ-Final,karen has number0 markers . her mother gives her number1 more markers . karen loses number2 markers .,how many markers does she have now ?
on the first day of the week pat had number0 stickers . pat earned number1 more during the week . how many stickers did pat have at the end of the week ?,39 22,+ number0 number1,61.0,"[1, 5, 8, 9, 10, 13, 14, 15, 29, 30, 31]",2,Addition,on the first day of the week pat had number0 stickers . pat earned number1 more during the week .,how many stickers did pat have at the end of the week ?
connie has number0 red markers and number1 blue markers . how many markers does she have altogether ?,41 64,+ number0 number1,105.0,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 16]",2,Addition,connie has number0 red markers and number1 blue markers .,how many markers does she have altogether ?
joe had number0 toy cars . if he gets number1 more cars how many cars will he have then ?,50 12,+ number0 number1,62.0,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 16, 17, 18]",2,Addition,joe had number0 toy cars . if he gets number1 more cars,how many cars will he have then ?
maria had number0 pieces of gum . tommy gave her number1 more pieces . luis gave her number2 more pieces . how many pieces of gum does maria have now ?,25 16 20,+ + number0 number1 number2,61.0,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 16, 17, 18, 19, 27, 28, 29]",2,Sum,maria had number0 pieces of gum . tommy gave her number1 more pieces . luis gave her number2 more pieces .,how many pieces of gum does maria have now ?
there are number0 books on the shelf . marta put number1 more books on the shelf . how many books are on the shelf now ?,38 10,+ number0 number1,48.0,"[1, 2, 3, 6, 9, 10, 11, 12, 22, 23, 24]",2,Addition,there are number0 books on the shelf . marta put number1 more books on the shelf .,how many books are on the shelf now ?
a bee has number0 legs . how many legs do number1 bees have ?,6 8,* number0 number1,48.0,"[1, 2, 3, 4, 6, 9, 10, 11, 12]",2,Multiplication,a bee has number0 legs .,how many legs do number1 bees have ?
mrs. hilt bought number0 hot dogs . each hot dog cost number1 cents . how much money did she pay for all of the hot dogs ?,6 50,* number0 number1,300.0,"[2, 3, 4, 5, 7, 10, 11, 12, 23, 24, 25]",2,Multiplication,mrs. hilt bought number0 hot dogs . each hot dog cost number1 cents .,how much money did she pay for all of the hot dogs ?
mrs. hilt has number0 cents . a pencil costs number1 cents . how many pencils can she buy with the money she has ?,50 5,/ number0 number1,10.0,"[2, 3, 4, 8, 9, 10, 20, 21, 22]",2,Common-Division,mrs. hilt has number0 cents . a pencil costs number1 cents .,how many pencils can she buy with the money she has ?
mrs. hilt had number0 cents . she bought a pencil for number1 cents and a piece of candy for number2 cents . how much money did she have left ?,43 20 5,- - number0 number1 number2,18.0,"[2, 3, 4, 10, 11, 12, 18, 19, 20, 26, 27, 28]",2,TVQ-Final,mrs. hilt had number0 cents . she bought a pencil for number1 cents and a piece of candy for number2 cents .,how much money did she have left ?
mrs. hilt bought carnival tickets . the tickets cost $ number0 for number1 tickets . if mrs. hilt bought number2 tickets how much did she pay ?,1 4 12,/ number2 number1,3.0,"[2, 3, 9, 10, 11, 12, 13, 18, 19, 20, 23, 24, 25]",2,Common-Division,mrs. hilt bought carnival tickets . the tickets cost $ number0 for number1 tickets . if mrs. hilt bought number2 tickets,how much did she pay ?
mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears . how many reptiles did mrs. hilt see ?,21 11 36 57,+ number0 number1,32.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19]",2,Addition,mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .,how many reptiles did mrs. hilt see ?
the hawks scored number0 touchdowns worth number1 points each . how many points do they have ?,3 7,* number1 number0,21.0,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 15]",2,Multiplication,the hawks scored number0 touchdowns worth number1 points each .,how many points do they have ?
a quarter equals $ number0 . how many quarters equal $ number1 ?,0.25 2.25,/ number1 number0,9.0,"[2, 3, 4, 9, 10, 11, 12]",2,Common-Division,a quarter equals $ number0 .,how many quarters equal $ number1 ?
mark has number0 trees in his backyard . if he plants number1 more how many trees will he have ?,13 12,+ number0 number1,25.0,"[1, 2, 3, 6, 10, 11, 12, 16, 17, 18]",2,Addition,mark has number0 trees in his backyard . if he plants number1 more,how many trees will he have ?
kim has number0 cousins . she wants to give each one number1 pieces of gum . how much gum will she need ?,4 5,* number0 number1,20.0,"[1, 2, 3, 9, 10, 11, 12, 19, 20, 21]",2,Multiplication,kim has number0 cousins . she wants to give each one number1 pieces of gum .,how much gum will she need ?
dan has $ number0 . he bought a candy bar for $ number1 . how much money is left ?,3.00 1.00,- number0 number1,2.0,"[1, 2, 3, 11, 12, 16, 17, 18]",2,Subtraction,dan has $ number0 . he bought a candy bar for $ number1 .,how much money is left ?
number0 boats are in the lake . each boat has number1 people . how many people are on boats in the lake ?,5 3,* number0 number1,15.0,"[0, 1, 2, 5, 7, 9, 10, 11, 19, 20, 21]",2,Multiplication,number0 boats are in the lake . each boat has number1 people .,how many people are on boats in the lake ?
there are number0 dogs number1 fish and number2 cats at my farm . how many pets do i have at my farm ?,43 72 34,+ + number0 number1 number2,149.0,"[1, 2, 3, 4, 5, 6, 7, 8, 19, 20, 21]",2,Sum,there are number0 dogs number1 fish and number2 cats at my farm .,how many pets do i have at my farm ?
charlie has number0 more snowballs than lucy . she has number1 snowballs . how many does charlie have ?,31 19,+ number0 number1,50.0,"[1, 2, 3, 4, 9, 10, 11, 15, 16, 17]",2,Addition,charlie has number0 more snowballs than lucy . she has number1 snowballs .,how many does charlie have ?
randy has number0 blocks . he uses number1 blocks to build a tower . how many blocks are left ?,78 19,- number0 number1,59.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,randy has number0 blocks . he uses number1 blocks to build a tower .,how many blocks are left ?
bryan has number0 skittles . ben has number1 m & m 's . how many more does brian have ?,50 20,- number0 number1,30.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,bryan has number0 skittles . ben has number1 m & m 's .,how many more does brian have ?
annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients how many pieces of meat did she buy in total ?,15 10 30,+ + number0 number1 number2,55.0,"[65, 2, 66, 67, 41, 42, 43, 45, 46, 47, 50, 51, 52, 20, 26]",3,Sum,annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients,how many pieces of meat did she buy in total ?
andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets . how many portions of appetizers did andrew bring in all ?,30 20 40,+ + number0 number1 number2,90.0,"[3, 41, 42, 43, 16, 17, 18, 20, 21, 22, 27, 28, 29]",3,Sum,andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets .,how many portions of appetizers did andrew bring in all ?
annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice . how many glasses of juice would there be ?,25 15 5,+ + number0 number1 number2,45.0,"[32, 33, 1, 37, 38, 39, 7, 49, 50, 51, 26, 27, 28, 31]",3,Sum,annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice .,how many glasses of juice would there be ?
on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has number0 girl classmates number1 boy classmates and number2 teachers in her class how many people attended her birthday party ?,15 20 3,+ + number0 number1 number2,38.0,"[2, 37, 38, 39, 20, 21, 22, 23, 24, 25, 27, 28, 29]",3,Sum,on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has number0 girl classmates number1 boy classmates and number2 teachers in her class,how many people attended her birthday party ?
